Model,Accuracy (%),Precision (%),Recall (%),F1-Score (%),AUC,MCC,Specificity (%),FPR (%),Δ Accuracy
Standard GAN,61.82,64.56,61.82,59.94,0.6615,0.2624,40.14,59.86,-37.66%
ACGAN,99.48,99.48,99.48,99.48,0.9984,0.9896,99.95,0.05,—
MGAN (no regularisation),99.51,99.52,99.51,99.51,0.9986,0.9903,99.95,0.05,+0.03%
MGAN + L_dis only,99.53,99.53,99.53,99.53,0.998,0.9906,99.9,0.1,+0.05%
MGAN + L_dis + L_cos,99.58,99.59,99.58,99.58,0.9978,0.9917,99.99,0.01,+0.10%
AT-MGAN (full model),99.48,99.49,99.48,99.48,0.9987,0.9897,99.96,0.04,—
